ID,Category,Text,Detected Language,Expected Sentiment,Predicted Sentiment,Expected Sarcasm,Predicted Sarcasm,Expected Toxicity,Predicted Toxicity,Toxicity Score,Expected AI Signal,Predicted AI Signal,Model Prediction,Correct?
71,Positive,এই রোগীর বয়স ২৭ বছর।বিয়ে হয়েছে ৮ বছর...হঠাৎ করে কোনো চিকিৎসা ছাড়াই তিনি কনসিভ করেন।টুইন বাবু...আল্লাহ চাইলে মানুষকে তার চাওয়ার থেকেও অনেক বেশি দিতে পারেন এটাই তার উদাহরণ।,Bangla,Positive,Positive,No,No,Low,Low,1.4453490674495697,Green,Green,Positive / Non-Sarcastic / Low toxicity -> Green,Yes
72,Positive,Thank me later🙏,English,Positive,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
73,Negative,"জাপানের কিচ্ছা কাহিনি আমি আসলেই বুঝতে পারিনা!! বাচ্চা একা হাসপাতালে থাকলে 0 ইয়েন মানে ফ্রী তেও রুম আছে...কিন্তু রুমে ঢুকার পর দেখলাম বাড়তি কোন বেড নেই...সোফার দিকে তাকিয়ে আমি আর ছেলের বাবা মিনি হার্ট এটাক খেলাম!!...দোয়া প্রার্থী মারিয়া রহমান টোকিও, জাপান",Bangla,Negative,Negative,No,Yes,Low,Medium,2.192931652069092,Green,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,No
74,Negative,কিছু বলার নাই।,Bangla,Negative,Negative,No,No,Low,Low,1.0108140427619219,Green,Yellow,Negative / Non-Sarcastic / Low toxicity -> Yellow,No
75,Negative,দেশটা পাগলের কারখানা হয়েগেছে!!!!,Bangla,Negative,Negative,No,Yes,Low,Medium,2.079187750816345,Green,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,No
76,Negative,এমন হাসবেন্ড থাকলে জীবনে পঙ্গু হ‌ওয়া লাগবে,Bangla,Negative,Negative,No,Yes,Low,Low,1.2733345329761505,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
77,Negative,বেশি ভালবাসা আবার ভাল না।,Bangla,Negative,Negative,No,Yes,Low,Low,1.0217094365507364,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
78,Neutral,এই দেশটায় জোর যার মুলুক তার,Bangla,Neutral,Negative,No,Yes,Low,Low,1.2831978499889374,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
79,Neutral,১৮ বয়সের আগে বিয়ে করেছে? এতো বাল্যবিবাহ,Bangla,Neutral,Negative,No,Yes,Low,Low,1.1893238723278046,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
81,Positive,মেঘলা আকাশ... সুপ্রভাত সবাইকে 🌷,Bangla,Positive,Positive,No,No,Low,Low,1.040817104279995,Green,Green,Positive / Non-Sarcastic / Low toxicity -> Green,Yes
82,Advertisement,Breathtaking Bridal Glam by Safa Shareef,English,Positive,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
83,Advertisement,থাই কোম্পানির সকল ধরনের আনকমন সবজি বীজ আবার স্টক হচ্ছে......,Bangla,Neutral,Negative,No,Yes,Low,Low,1.0615476444363594,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
84,Opinion / Advice,"সবার কি বাইরে চলে যাওয়া উচিত? ডিপেন্ড করে আপনি লাইফে ঠিক এই মুহূর্তে কোন অবস্থায় আছেন... [full balanced essay weighing reasons to stay in Bangladesh vs. move abroad] ...শেষ পর্যন্ত destination না, আপনার জন্য কোন জীবনটা better, সেটাই আসল",Mixed,Neutral,Unknown,No,No,Low,Low,1.626980483531952,Yellow,Yellow,Unknown / Non-Sarcastic / Low toxicity -> Yellow,Yes
85,Sarcastic,আলহামদুলিল্লাহ্ পূর্ণতা 😁😑,Bangla,Neutral,Positive,Yes,No,Low,Low,1.0,Yellow,Green,Positive / Non-Sarcastic / Low toxicity -> Green,No
86,Sarcastic,"না না, ছি! ব্যাডা মানুষ অ্যাকসিডেন্ট করে নাকি আবার! এগুলো তো নারীবাদীদের ষড়যন্ত্র।",Bangla,Negative,Negative,Yes,Yes,Medium,Medium,2.865262269973755,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
87,Political / Social,"মনে আছে, কওমি মাদরাসার মাত্র ১২ বছর বয়সী এক ছাত্রীকে ধ**ণের অভিযোগ উঠেছিল ওই মাদ্রাসার পরিচালক ও শিক্ষক আমান উল্লাহ মাহমুদী সাগরের বিরুদ্ধে... সিআইডির ডিএনএ পরীক্ষায় নবজাতক কন্যার সঙ্গে অভিযুক্ত সাগরের ডিএনএ ৯৯.৯৯% মিলে গেছে... বিশেষ করে ডা. সায়মা আক্তার....তিনি প্রথম দিকেই এই মেয়েটির ঘটনা জনসমক্ষে আনেন... অভিযুক্তের পক্ষ নেওয়া লোকজন তাঁকে নানা অপবাদ দিয়েছে, হুমকি দিয়েছে... এরা সমাজের কীট।",Bangla,Negative,Negative,No,No,High,High,3.9304792881011963,Red,Red,Negative / Non-Sarcastic / High toxicity -> Red,Yes
88,Political / Social,তোর আব্বা এদিকে যুদ্ধ বিমান কিনছে 😀😃,Bangla,Negative,Negative,Yes,Yes,Low,Low,1.010837472975254,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
89,Political / Social,"শেখ হাছিনা সরকার গ্যাস, বিদ্যুৎ,সার আর নিত্যপন্যের টাকা নিয়ে পালিয়ে গেছে!
কিন্তু বোয়িং ও যুদ্ধ-বিমান কেনার টাকা রেখে গেছে। 🙂‍↔️",Bangla,Negative,Negative,Yes,Yes,Low,Low,1.5567918419837952,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
90,Toxic / Abusive,আহারে চৌ* দানি,Bangla,Negative,Negative,No,Yes,High,Low,1.0,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
91,Toxic / Abusive,ম*** অরজিনাল পাকিস্তানি বিজ,Bangla,Negative,Negative,No,Yes,High,Low,1.2161920368671417,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
92,Political / Social,সুদ খোর নিয়া গেচে,Bangla,Negative,Negative,No,Yes,Medium,Low,1.063599318265915,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
93,Toxic / Abusive,তোর তোর হাদি কেউ লুটেপুটে খায় নাই??,Bangla,Negative,Negative,No,Yes,Medium,Medium,2.543442964553833,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
94,Political / Social,পাব্লিক খায়না খালা। বুঝে গেছে এই মিথ্যা,Bangla,Negative,Negative,No,Yes,Low,Low,1.8344841003417969,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
95,Toxic / Abusive,ব্রেইন হাদীতে থাকলে এই অবস্থা হয়,Bangla,Negative,Negative,No,Yes,Medium,Low,1.0152529869228601,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
96,Political / Social,হাসিনার রেখে যাওয়া সম্পদ নিয়ে দুই বছর চলেছে। এই দুই বছর কে কি করেছে?,Bangla,Neutral,Neutral,No,No,Low,Low,1.0908759981393814,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
97,Toxic / Abusive,"শুন জাশি দাশী, হাসিনা ঠিকেই বলতো ২বছরের জন্য সব কিছু রিজার্ভ রাখতো, আর ঠিক ২বছর পর্যন্ত মোটামুটি সব ঠিকঠাক চলছিলো,ঠিক ২ বছর পর সব সংকট দেখা দিতেছে,",Bangla,Negative,Negative,No,Yes,Medium,Low,1.1384353190660477,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
98,Toxic / Abusive,গর্ভকালীন সময়ে অতিরিক্ত পোন্দাইলে এই রকম বাস্টার্ড জর্ম নেয় - 😃,Bangla,Negative,Negative,Yes,Yes,High,Low,1.0,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
99,Relationship / Social Commentary,"আমি এতো গুলো বিড়াল পালন করতেছি, আমার সাথে কয়েকটি ঘুমায়, আমার স্ত্রী কন্যার সাথে বছরের পর বছর যাবত ঘুমায় কখনো কিছু দেখলাম না, বরং বিড়াল মানুষের ৬টা রোগ থেকে বাচিঁয়ে দেয়",Bangla,Neutral,Negative,No,Yes,Low,Medium,2.669673442840576,Green,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,No
100,Relationship / Social Commentary,"আমি আগেই বলছি এই মেয়ে নাটক করছে
আর আমার বিড়াল আমাকে প্রতিদিন দুই একটা কামড় মারে, আমার তো কিছু হয় না",Bangla,Neutral,Negative,No,Yes,Low,Low,1.875823974609375,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
101,Toxic / Abusive,আপনাকে বিড়ালের ঝুটা খাওয়ানো উচিত তাহলে আপনি বুঝবেন মাসের কয়দিন।,Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.2666111886501312,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
102,Relationship / Social Commentary,ডাক্তার ব্যকসিন বিক্রি করার জন্য আর বউ কে শাড়ি কিনে দেওয়ার জন্য একটা রোগী কে কখনো হাত ছাড়া করে না,Bangla,Neutral,Negative,No,Yes,Low,Medium,2.123262047767639,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
103,Social (Medical / Concerning Topic),বাচ্চাটার দোশ দিয়ে লাভ নাই। যারা ওর ভিডিও করে FB দিছে তাদের শাস্তির ব্যবস্থা করা উচিত। হাজার হাজার পালিত বিড়াল রাস্তায় ফেলে দিছে।,Bangla,Neutral,Negative,No,Yes,Low,Medium,2.233550190925598,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
104,Toxic / Abusive,ওরে শয়তানের বাচ্চা তুই কবে অসুস্থ হইলি তোর তো এটা নাটক ছিল রে বাচ্চা স্কুলে বাচ্চাদের সাথে খেলতে খেলতেই বিড়ালের কপি করছিলি,Bangla,Negative,Negative,No,Yes,High,High,3.522188663482666,Red,Red,Negative / Sarcastic / High toxicity -> Red,Yes
105,Positive,চমৎকার বলেছেন,Bangla,Positive,Positive,No,No,Low,Low,1.0,Green,Green,Positive / Non-Sarcastic / Low toxicity -> Green,Yes
106,Social (Medical / Concerning Topic),আমি অনেক বছর ধরে বিড়াল পালন করি তাদের সব ধরনের ভেকসিন দিয়েছি আমার সাথে ঘুমায় গোসল করানোর সময় আচরও লাগে কই এমনতো হয়নি ফালতু একটা পোস্ট দিয়ে অনেক বিড়ালকে আশ্রয় হীন করছে সব কটার বিচার করা উচিৎ।,Bangla,Neutral,Negative,No,Yes,Low,High,3.6198511123657227,Yellow,Red,Negative / Sarcastic / High toxicity -> Red,No
107,Sarcastic,মিয়াও,Bangla,Neutral,Negative,Yes,Yes,Low,Low,1.0,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
108,Toxic / Abusive,দুইডা কইষসা থাবর দিলেই সব ঠিক হইয়া যাইতো।,Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.271821767091751,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
109,Sarcastic,এক এক করে সবাই জাতির আবেগে মুতে দেয়,Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.0766614899039268,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
110,Toxic / Abusive,এই মেয়ে বড় হলে পৃথিবীর সবচেয়ে বড় খ হবে,Bangla,Negative,Negative,No,No,High,Low,1.1133538708090782,Red,Yellow,Negative / Non-Sarcastic / Low toxicity -> Yellow,No
111,Sarcastic,তেমন কিছু না একটু ভাইরাল হতে চাইছিলো আর কি,Bangla,Negative,Negative,Yes,Yes,Low,Low,1.2717306017875671,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
112,Toxic / Abusive,বোবা জন্তুগুলিরে অভিশাপ এখন কার লাগবে এই কেতরির! নাকি যারা ভিডিও করছে তাদের,Bangla,Negative,Negative,No,Yes,High,Medium,3.219886302947998,Red,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,No
113,Toxic / Abusive,_এই বাটপার একটা হিজলা দু মুখো সাপ দেখলে মনে হয় বাইন মাছ ধরতে জানেনা,Bangla,Negative,Negative,No,Yes,High,Low,1.4376756250858307,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
114,Political / Social,নেপালে বিকাশ না থাকার কারণে Tasrif Khan এর ত্রান ব্যাবসায় বিরাট ধস!! 🫠,Mixed,Negative,Unknown,Yes,No,Medium,Low,1.0956066995859146,Red,Yellow,Unknown / Non-Sarcastic / Low toxicity -> Yellow,No
115,Political / Social,বন্যা তাসরিফ,Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.0047140140086412,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
116,Sarcastic,কিছু টাকা লাগবে পাঠাবো,Bangla,Negative,Negative,Yes,Yes,Low,Low,1.0,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
117,Toxic / Abusive,বাটপার,Bangla,Negative,Positive,No,No,Medium,Low,1.0019011665135622,Yellow,Green,Positive / Non-Sarcastic / Low toxicity -> Green,No
118,Toxic / Abusive,হালায় একটা বাটপার,Bangla,Negative,Negative,No,Yes,High,Low,1.0,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
119,Toxic / Abusive,এই সালা বাটপার,Bangla,Negative,Negative,No,Yes,High,Low,1.0465369075536728,Red,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
120,Positive,"SpaceX এর AI প্রোজেক্টে সফটওয়্যার ইন্জিনিয়ার হিসেবে যোগ দিয়েছেন, চট্টগ্রাম বিশ্ববিদ্যালয়ের সাবেক শিক্ষার্থী আল একরাম এলাহী হৃদয়! তিনি চট্টগ্রাম বিশ্ববিদ্যালয়ের ২০১৫-১৬ শিক্ষাবর্ষের সাবেক শিক্ষার্থী। যুক্তরাষ্ট্রে মাস্টার্স কমপ্লিট করার পর ক্যালিফোর্নিয়ার পালা আল্টোতে 'স্পেসএক্সে' কর্মরত আছেন।",Bangla,Positive,Positive,No,No,Low,Low,1.0265202727168798,Green,Green,Positive / Non-Sarcastic / Low toxicity -> Green,Yes
121,Positive,"ডিম এর দাত পরে যাওয়ার পর ছবিই তুলতে চাইতো না। দাত বের করে হাসতোও না। এর মধ্যে আমি একদিন মজার রান্না করায় আমায় ২০০ টাকা বকশিস দিয়েছিলো তার ঈদ সালামি থেকে। এটা সেদিনের ছবি,আমায় টাকা দিয়ে সে অনেক খুশি।মাশাআল্লাহ",Bangla,Positive,Negative,No,Yes,Low,Low,1.6767631769180298,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
122,Positive,"বাচ্চাদের ভয়ে জিনিসপত্র এমন জায়গায় লুকাই, শেষ পর্যন্ত নিজেই আর খুঁজে পাই না",Bangla,Positive,Negative,No,Yes,Low,Low,1.1415853798389435,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
123,Positive,"ফুলের সুবাসে, সকালের মিষ্টি আলোয় শুরু হোক নতুন একটি সুন্দর দিন। সবার জীবন ভরে উঠুক সুখ, শান্তি আর ভালোবাসায়। শুভ সকাল। সুপ্রভাত। — in Sylhet",Bangla,Positive,Positive,No,No,Low,Low,1.0,Green,Green,Positive / Non-Sarcastic / Low toxicity -> Green,Yes
124,Positive,যেইসব কারনে আমি কামলা দেই..,Bangla,Neutral,Negative,No,Yes,Low,Low,1.2589797973632812,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
125,Opinion / Advice,Offline is the new Luxury….,English,Positive,Neutral,No,No,Low,Low,1,Green,Yellow,Neutral / Non-Sarcastic / Low toxicity -> Yellow,No
126,Opinion / Advice,আমার এই গোলাপ গাছটা প্রায় মরোমরো অবস্থা। ডাল আছে কিন্তু গাছে কোন পাতা নেই। কিভাবে গাছটাকে বাঁচানো যায়। কেউ জেনে থাকলে একটু জানাবেন প্লিজ। এখানে তো অনেকেই অভিজ্ঞ আছেন গোলাপ গাছ সম্পর্কে,Bangla,Neutral,Negative,No,Yes,Low,Low,1.0559283792972565,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
127,Advertisement,সেল পোস্ট IPB-2026-298 আর্জেন্ট কিছু গাছ ছেড়ে দেওয়া হবে। তাই সব অফারে দিয়ে দিচ্ছি। ছবিতে গাছের দাম দেওয়া আছে। নিতে আগ্রহি হলে ইনবক্সে নক করুন সুন্দরবন কুরিয়ারে পাঠানো হবে,Bangla,Neutral,Negative,No,Yes,Low,Low,1.0916236564517021,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
128,Advertisement,এই জিনিষ গুলো চোখে এত প্রশান্তিদায়ক 😌😌😌,Bangla,Neutral,Negative,No,Yes,Low,Low,1.0,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
129,Advertisement,"স্কিনে বারবার ব্রণ, র‍্যাশ আর লালচে দাগ? COSRX-এর জেন্টল কিন্তু ইফেক্টিভ প্রোডাক্টগুলো...",Bangla,Neutral,Negative,No,Yes,Low,Low,1.0,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
130,Advertisement,"গয়না ঢাকে না, গয়না আমাকে বোঝায় আপনি কত দামি 🫰🥹 তবে এই সেটটা একদম বাজেট ফ্রেন্ডলি 🤗",Bangla,Positive,Positive,No,No,Low,Low,1.3828396201133728,Green,Green,Positive / Non-Sarcastic / Low toxicity -> Green,Yes
131,Advertisement,১০০ টাকায় ১ মাস কমপ্লিট এডমিশন প্রস্তুতি! মক টেস্ট ও সল্যুশন পেতে ভিজিট করুন,Bangla,Neutral,Negative,No,Yes,Low,Low,1.0520777851343155,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
132,Advertisement,"চলে আসছে পূজো স্পেশাল দোলা খাড্ডী বেনারসি শাড়িইইই ব্লাউজ এবার সব গুলো আনস্টিচড পিসেস এনেছি, আপনারা আপনাদের মতো স্টিচড করে নিবেন!! কি যে সুন্দর এই শাড়ি স্টক থাকতে থাকতে নিয়ে নিন!",Bangla,Positive,Negative,No,Yes,Low,Low,1.7617543935775757,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
133,Advertisement,"৫০ মিলির দামে ১২০ মিলি সানস্ক্রিন, তাও কিনা পানির মতো ফিনিশ দিবে স্কিনে! আর কি লাগে?",Bangla,Positive,Negative,No,Yes,Low,Low,1.2057861536741257,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
134,Sarcastic,"Wow, আপনি তো পুরাই অনার্স",Bangla,Mixed,Negative,Yes,Yes,Low,Medium,2.0479782819747925,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
135,Sarcastic,এটাই বাস্তব! 🌚,Bangla,Negative,Neutral,Yes,No,Low,Low,1.0156400259584188,Yellow,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,No
136,Sarcastic,কেউ ভাইটারে মুতার যায়গা খুঁজে দিয়ে সাহায্য কর 🤣,Bangla,Neutral,Negative,Yes,Yes,Medium,Low,1.2262097299098969,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
137,Sarcastic,কাকে বিশ্বাস করবো...😩🤏,Bangla,Negative,Negative,Yes,No,Low,Low,1.1999683380126953,Yellow,Yellow,Negative / Non-Sarcastic / Low toxicity -> Yellow,Yes
138,Sarcastic,এটা কে বলতে পারলে তুমি লিজেন্ড ...🤫,Bangla,Neutral,Negative,Yes,Yes,Low,Low,1.3555654287338257,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
139,Sarcastic,"গেছিলাম গ্যাস এর চুলা কিনতে পরে দোকানে গিয়ে দেখি সে বেডা জানেই না সে বাংলাদেশ এর একটা গ্যাসের চুলার ব্যান্ড এ্যাম্বাসিডার হয়ে গেছে (+ comment: ""জেকের লস হইয়া গেলো"")",Bangla,Negative,Negative,Yes,Yes,Medium,Low,1.0926896631717682,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
140,Political / Social,কালকে Women's Equality day ... ১৯২০ সালে এই দিনে আমেরিকার নারীরা ৭০ বছরের লড়াই শেষে ভোট দেওয়ার সাংবিধানিক অধিকার অর্জন করে... বেগম রোকেয়া বা লীলা নাগের মতো ফেমিনিস্টরাই এটা সম্ভবপর করেছিলেন..,Bangla,Positive,Positive,No,No,Low,Low,1.0,Green,Green,Positive / Non-Sarcastic / Low toxicity -> Green,Yes
142,Relationship / Social Commentary,ওনেস্টলি স্পিকিং কাউকে চেঞ্জ করার ঠেকা নিয়ে আমরা পৃথিবীতে আসি না। প্রতিদিন স্ট্রাগল করছি নিজের জন্য। নিজের সাথে সুবিচার সবার আগে করতে হবে। কাউকে চেঞ্জ করা সম্ভবও না...যেচে নিজের জীবনকে অশান্ত আর বিষাক্ত করার কোনো প্রয়োজনই দেখি না।,Bangla,Neutral,Negative,No,No,Low,Low,1.8001719117164612,Green,Yellow,Negative / Non-Sarcastic / Low toxicity -> Yellow,No
144,News / Informational,"এই ফলের প্রাচীন নাম ছিল মহাকাল, যা ভেষজ গুণে অত্যন্ত সমৃদ্ধ। এই নাম বিকৃত হয়ে মাকাল হয়েছে, এবং একসময় হাঁপানি, নাক-কানের ঘা, কুষ্ঠ রোগে ব্যবহৃত হতো। মাকাল ফল মূলত বর্ষাকালে ফুল ও ফল দেয়। এটি বারোমাসি হলেও বর্ষাতেই বেশি দেখা যায়। দেখতে লোভনীয় হলেও এই ফল খাওয়ার যোগ্য না। খাওয়া সম্ভব না, মানুষের খাওয়ার পক্ষে অনুপযোগী কারণ ভেতরে তেতো এবং বিষাক্ত",Bangla,Neutral,Negative,No,Yes,Low,Low,1.4389840066432953,Green,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,No
145,News / Informational,"সালমান জামায়াত সেক্রেটারি মিয়া গোলাম পরওয়ারের সন্তান। এতোদিন মিউজিকের সঙ্গে গান পরিবেশন করায় জামায়াতের একটি অংশ এটি নিয়ে অসন্তোষ প্রকাশ করে আসছিলো...আলহামদুলিল্লাহ, আমি সিদ্ধান্ত নিয়েছি যে, আমি আর মিউজিকের সঙ্গে কোনো গান পরিবেশন করব না...আমার কোনো কথায় ও কাজের কারণে কেউ কষ্ট পেয়ে থাকলে বা ব্যথিত হয়ে থাকলে, দয়া করে আমাকে ক্ষমা করবেন। সবার কাছে আমি দোয়া প্রার্থী।",Bangla,Positive,Positive,No,No,Low,Low,1.3238247632980347,Yellow,Green,Positive / Non-Sarcastic / Low toxicity -> Green,No
147,Safe/Positive,Thank you so much for helping me today!,English,Positive,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
148,Safe/Positive,"What a beautiful morning, I love this weather.",English,Positive,Neutral,No,Yes,Low,Low,1,Green,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,No
149,Safe/Positive,"Congratulations on your graduation, well deserved!",English,Positive,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
150,Safe/Positive,I really enjoyed the concert last night.,English,Positive,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
151,Safe/Positive,"Great job on the presentation, the team loved it.",English,Positive,Neutral,No,Yes,Low,Low,1,Green,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,No
152,Safe/Positive,"Have a wonderful day, see you soon!",English,Positive,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
153,Safe/Positive,This restaurant has the best food in town.,English,Positive,Neutral,No,Yes,Low,Low,1,Green,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,No
154,Safe/Positive,I'm so proud of how far you've come.,English,Positive,Neutral,No,No,Low,Low,1,Green,Yellow,Neutral / Non-Sarcastic / Low toxicity -> Yellow,No
155,Safe/Positive,The new update made the app so much easier to use.,English,Positive,Neutral,No,Yes,Low,Low,1,Green,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,No
156,Safe/Positive,Looking forward to seeing everyone at the reunion.,English,Positive,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
157,Negative/Non-Toxic,I'm really disappointed that the flight got delayed again.,English,Negative,Neutral,No,No,Low,Low,1,Green,Yellow,Neutral / Non-Sarcastic / Low toxicity -> Yellow,No
158,Negative/Non-Toxic,This has been one of the hardest weeks of my life.,English,Negative,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
159,Negative/Non-Toxic,I don't think this plan is going to work out.,English,Negative,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
160,Negative/Non-Toxic,The customer service here was quite slow today.,English,Negative,Neutral,No,Yes,Low,Low,1,Green,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,No
161,Negative/Non-Toxic,I'm feeling pretty stressed about the upcoming exams.,English,Negative,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
162,Negative/Non-Toxic,"Honestly, the movie was boring and too long.",English,Negative,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
163,Negative/Non-Toxic,I regret not studying harder for that test.,English,Negative,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
164,Negative/Non-Toxic,The traffic this morning was absolutely frustrating.,English,Negative,Neutral,No,Yes,Low,Low,1,Green,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,No
165,Negative/Non-Toxic,I'm upset that the project got cancelled at the last minute.,English,Negative,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
166,Negative/Non-Toxic,This product didn't meet my expectations at all.,English,Negative,Neutral,No,No,Low,Low,1,Green,Green,Neutral / Non-Sarcastic / Low toxicity -> Green,Yes
167,Toxic/Insults,"You are such an idiot, I can't believe you did that.",English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
168,Toxic/Insults,"Shut up, nobody asked for your stupid opinion.",English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
169,Toxic/Insults,You're completely useless and everyone knows it.,English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
170,Toxic/Insults,Only a moron would think that's a good idea.,English,Negative,Neutral,No,Yes,High,High,4,Red,Red,Neutral / Sarcastic / High toxicity -> Red,Yes
171,Toxic/Insults,You're a pathetic excuse for a teammate.,English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
172,Toxic/Insults,"Get lost, you worthless piece of garbage.",English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
173,Toxic/Insults,You're too dumb to understand basic instructions.,English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
174,Toxic/Insults,"Everyone thinks you're a joke, just admit it.",English,Negative,Neutral,No,No,High,Medium,2,Red,Yellow,Neutral / Non-Sarcastic / Medium toxicity -> Yellow,No
175,Toxic/Insults,"You disgust me, I can't stand being around you.",English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
