ID,Category,Text,Why this Label?,Expected Sentiment,Expected Sarcasm,Expected Toxicity,Expected AI Signal,UI Signal Text,Special Flags,Status,Model Prediction,Correct?
66,Social (Medical / Concerning Topic),"মাত্র ৩০ বছর বয়সেই উনার জরায়ু ফেলে দিতে হলো! অবাক করার মতো বিষয়, বাচ্চার বয়স ৩৫ সপ্তাহ+ কিন্তু তবুও উনি কখনো একবারের জন্যও ডাক্তার দেখাননি নূন্যতম একটা আল্ট্টাও করেননি! উনি ভর্তি হইছেন, প্রচন্ড রক্তক্ষরন,পেট ব্যাথা নিয়ে.. জরুরি ভিত্তিতে সব পরীক্ষা নিরীক্ষার পর দেখা গেলো উনার Placenta Accreta spectrum disorder with DM.. দ্রুত ওটিতে নেওয়া হলো, বাসায় নরমাল ডেলিভারী চেষ্টা করার কারনে ও অবহেলায় এ মায়ের অবস্থা তখন খুব খারাপ, ডাক্তারদের অক্লান্ত পরিশ্রমে বাচ্চাটা নিরাপদে বের করতে পারলেও মায়ের রক্ত ক্ষরণ বন্ধ করা যাচ্ছিলো না, শেষ পর্যন্ত জরায়ু কেটে ফেলতে হয়.. যদি উনি আগে থেকে জানতেন,নিয়মিত ফলোআপে থাকতেন,ডায়বেটিস নিয়ন্ত্রণে রাখতেন, তাহলে এত অল্প বয়সে হয়তো জরায়ু ফেলে দেওয়া লাগতোনা.. Dr. Abdur Rahman","Real medical case shared for awareness with actionable prevention steps; sensitive subject matter but respectful, non-accusatory, educational tone.",Negative,No,Low,🟡 Yellow,📚 This post provides informative content.,Medical; Full Text Recovered,Ready,,
67,Social (Medical / Concerning Topic),বাচ্চা পেটে থাকতে ডাক্তার দেখায়নি অথচ এখন জরায়ু ফেলে দেওয়ার কারণে মহিলার সংসার টিকে কি-না সন্দেহ।,Speculates about whether the woman's marriage will survive due to her medical condition — reframes a health tragedy around her marital/social value.,Negative,No,Medium,🟡 Yellow,⚠️ This post contains language that may be harmful or offensive.,Concerning Topic: Yes.,Ready,,
68,Opinion / Advice,"জ্ঞান, শিক্ষা আর সাফল্য থাকলেই মানুষ পরিণত হয় না; কখন কোথায় থামতে হয়, সেটাও এক ধরনের প্রজ্ঞা। শেষ পর্যন্ত মানুষকে তার অর্জন নয়, তার রুচি, সংযম আর বিবেচনাবোধই আলাদা করে চেনায়।","Abstract philosophical reflection on wisdom and restraint, no target, no emotional charge.",Neutral,No,Low,🟢 Green,💡 This post encourages discussion and reflection.,,Ready,,
69,Positive,"Pink Bus, moving women forward with confidence, freedom and possibility.",Celebratory messaging about women's mobility/freedom.,Positive,No,Low,🟢 Green,💙 Helping you scroll a little smarter.,,Ready,,
70,Positive,নানু বাড়ির উপহার,Short warm caption about a gift from grandmother's house.,Positive,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
71,Positive,এই রোগীর বয়স ২৭ বছর।বিয়ে হয়েছে ৮ বছর...হঠাৎ করে কোনো চিকিৎসা ছাড়াই তিনি কনসিভ করেন।টুইন বাবু...আল্লাহ চাইলে মানুষকে তার চাওয়ার থেকেও অনেক বেশি দিতে পারেন এটাই তার উদাহরণ।,Grateful personal story about conceiving after years of trying.,Positive,No,Low,🟢 Green,🌸 This post shares a personal experience.,,Ready,,
72,Positive,Thank me later🙏,Short upbeat caption.,Positive,No,Low,🟢 Green,💙 Helping you scroll a little smarter.,,Ready,,
73,Negative,"জাপানের কিচ্ছা কাহিনি আমি আসলেই বুঝতে পারিনা!! বাচ্চা একা হাসপাতালে থাকলে 0 ইয়েন মানে ফ্রী তেও রুম আছে...কিন্তু রুমে ঢুকার পর দেখলাম বাড়তি কোন বেড নেই...সোফার দিকে তাকিয়ে আমি আর ছেলের বাবা মিনি হার্ট এটাক খেলাম!!...দোয়া প্রার্থী মারিয়া রহমান টোকিও, জাপান",Personal frustration/complaint about a real service failure abroad.,Negative,No,Low,🟢 Green,🌸 This post shares a personal experience.,,Ready,,
74,Negative,কিছু বলার নাই।,Terse resigned statement.,Negative,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
75,Negative,দেশটা পাগলের কারখানা হয়েগেছে!!!!,General exasperated complaint about the state of the country.,Negative,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
76,Negative,এমন হাসবেন্ড থাকলে জীবনে পঙ্গু হ‌ওয়া লাগবে,Harsh generalized complaint about a type of husband.,Negative,No,Low,🟡 Yellow,🌍 This post shares a social perspective worth considering.,,Ready,,
77,Negative,বেশি ভালবাসা আবার ভাল না।,Terse cynical relationship observation.,Negative,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
78,Neutral,এই দেশটায় জোর যার মুলুক তার,"Flat proverb-style statement, no clear target.",Neutral,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
79,Neutral,১৮ বয়সের আগে বিয়ে করেছে? এতো বাল্যবিবাহ,Ambiguous as given — could be a factual observation or ironic support for child marriage.,Neutral,No,Low,🟡 Yellow,👀 Know what you're about to read.,Contains Minor; Ambiguous | Ambiguous — confirm original context before finalizing.,Ready,,
80,System-Generated (exclude),___ updated profile picture,"Automated platform notification, not user-authored content.",—,—,—,🟢 Green,—,System-Generated — recommend excluding from evaluation set or tagging separately.,Ready,,
81,Positive,মেঘলা আকাশ... সুপ্রভাত সবাইকে 🌷,"Simple morning greeting with a flower image, no risk content",Positive,No,Low,🟢 Green,🌸 A warm morning greeting.,Image-accompanied post; text alone is fully sufficient to classify correctly,Ready,,
82,Advertisement,Breathtaking Bridal Glam by Safa Shareef,Promotional post introducing a bridal makeup/styling service by name,Positive,No,Low,🟢 Green,💄 A beautiful moment worth exploring.,,Ready,,
83,Advertisement,থাই কোম্পানির সকল ধরনের আনকমন সবজি বীজ আবার স্টক হচ্ছে......,"Restock announcement for a seed/gardening business, standard commercial notice",Neutral,No,Low,🟢 Green,🛍️ Browse this offer with confidence.,,Ready,,
84,Opinion / Advice,"সবার কি বাইরে চলে যাওয়া উচিত? ডিপেন্ড করে আপনি লাইফে ঠিক এই মুহূর্তে কোন অবস্থায় আছেন... [full balanced essay weighing reasons to stay in Bangladesh vs. move abroad] ...শেষ পর্যন্ত destination না, আপনার জন্য কোন জীবনটা better, সেটাই আসল","Long, balanced personal-advice essay on the decision to emigrate; weighs both sides explicitly, gives no one-sided verdict",Neutral,No,Low,🟡 Yellow,🌿 This post could give you a fresh perspective.,"Long Post | Long-form, structured advice essay — good test of whether sentiment model handles length/mixed-register (Bangla-English) text correctly",Ready,,
85,Sarcastic,আলহামদুলিল্লাহ্ পূর্ণতা 😁😑,Positive religious-gratitude phrase paired with a conflicting unamused emoji (😑) undercutting the sincerity of the smiling emoji (😁),Neutral,Yes,Low,🟡 Yellow,🙃 Things may not be as they first appear.,Emoji-conflict sarcasm marker — same pattern as 'এটাই বাস্তব 🌚' and other mood-vs-emoji mismatches,Ready,,
86,Sarcastic,"না না, ছি! ব্যাডা মানুষ অ্যাকসিডেন্ট করে নাকি আবার! এগুলো তো নারীবাদীদের ষড়যন্ত্র।","Mocks a real double-standard (blaming feminists / denying men can be at fault) by voicing the absurd position ironically — sarcasm targets the hypocrisy, not women",Negative,Yes,Medium,🟡 Yellow,🙃 This post may not mean exactly what it says.,"Important to label correctly: this is mocking misogynistic excuse-making, not itself misogynistic — mislabeling it Red as 'anti-feminist' would invert its actual meaning",Ready,,
87,Political / Social,"মনে আছে, কওমি মাদরাসার মাত্র ১২ বছর বয়সী এক ছাত্রীকে ধ**ণের অভিযোগ উঠেছিল ওই মাদ্রাসার পরিচালক ও শিক্ষক আমান উল্লাহ মাহমুদী সাগরের বিরুদ্ধে... সিআইডির ডিএনএ পরীক্ষায় নবজাতক কন্যার সঙ্গে অভিযুক্ত সাগরের ডিএনএ ৯৯.৯৯% মিলে গেছে... বিশেষ করে ডা. সায়মা আক্তার....তিনি প্রথম দিকেই এই মেয়েটির ঘটনা জনসমক্ষে আনেন... অভিযুক্তের পক্ষ নেওয়া লোকজন তাঁকে নানা অপবাদ দিয়েছে, হুমকি দিয়েছে... এরা সমাজের কীট।","Reports a real, DNA-confirmed child sexual abuse case by a named religious teacher, and condemns those who threatened the whistleblowing doctor who exposed it",Negative,No,High,🔴 Red,⚠️ Discusses a serious real-world case involving a minor.,"Contains Minor; Targets Real Named Individual | Involves a minor victim — same handling caution as the Nusrat Jahan Rafi case; also names the accused (DNA-confirmed) and condemns his defenders ('সমাজের কীট' = parasites of society), consistent with your severe-accusation-plus-real-harm Red pattern",Ready,,
88,Political / Social,তোর আব্বা এদিকে যুদ্ধ বিমান কিনছে 😀😃,Mocking jab implying the target's family benefits from state jet purchases while the public suffers — sarcasm signaled by the grinning emoji against a bitter accusation.,Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,Emoji-conflict sarcasm marker,Ready,,
89,Political / Social,"শেখ হাছিনা সরকার গ্যাস, বিদ্যুৎ,সার আর নিত্যপন্যের টাকা নিয়ে পালিয়ে গেছে!
কিন্তু বোয়িং ও যুদ্ধ-বিমান কেনার টাকা রেখে গেছে। 🙂‍↔️","Accuses the former government of embezzling public funds while sparing money for arms purchases; the ""chained mouth"" emoji signals sarcastic restraint rather than sincere agreement.",Negative,Yes,Low,🟡 Yellow,"⚖️ Read with context, not just emotion.",Emoji-conflict sarcasm marker,Ready,,
90,Toxic / Abusive,আহারে চৌ* দানি,Uses a censored abusive slur (asterisk masking) as a direct insult — special-character masking here signals profanity rather than a typo.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Censored-profanity example (asterisk masking),Ready,,
91,Toxic / Abusive,ম*** অরজিনাল পাকিস্তানি বিজ,"Same censored-profanity pattern combined with a nationalistic slur (""original Pakistani"") used as an insult.",Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Censored-profanity example; nationalistic slur,Ready,,
92,Political / Social,সুদ খোর নিয়া গেচে,"Accuses someone (implicitly a political figure) of being a ""usurer"" who fled with money — a derogatory economic accusation.",Negative,No,Medium,🟡 Yellow,"⚖️ Read with context, not just emotion.",,Ready,,
93,Toxic / Abusive,তোর তোর হাদি কেউ লুটেপুটে খায় নাই??,"Contains the coded abusive term ""হাদি"", used rhetorically to accuse the target's associates of also profiting corruptly.",Negative,No,Medium,🟡 Yellow,⚠️ This post contains language that may be harmful or offensive.,"Coded-slur — ""হাদি"" used as abuse",Ready,,
94,Political / Social,পাব্লিক খায়না খালা। বুঝে গেছে এই মিথ্যা,Dismisses a claim as a lie the public no longer believes.,Negative,No,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
95,Toxic / Abusive,ব্রেইন হাদীতে থাকলে এই অবস্থা হয়,"Reuses the coded slur ""হাদী"" to insult someone's intelligence.",Negative,No,Medium,🟡 Yellow,⚠️ This post contains language that may be harmful or offensive.,"Coded-slur — ""হাদী"" reused as abuse",Ready,,
96,Political / Social,হাসিনার রেখে যাওয়া সম্পদ নিয়ে দুই বছর চলেছে। এই দুই বছর কে কি করেছে?,"A neutral, fact-seeking question about how resources were used over two years — no insult or sarcasm present.",Neutral,No,Low,🟢 Green,📚 This post provides informative content.,,Ready,,
97,Toxic / Abusive,"শুন জাশি দাশী, হাসিনা ঠিকেই বলতো ২বছরের জন্য সব কিছু রিজার্ভ রাখতো, আর ঠিক ২বছর পর্যন্ত মোটামুটি সব ঠিকঠাক চলছিলো,ঠিক ২ বছর পর সব সংকট দেখা দিতেছে,","Opens with the abusive address ""জাশি দাশী"" before making a political argument that reserves lasted exactly the two years predicted.",Negative,No,Medium,🟡 Yellow,⚠️ This post contains language that may be harmful or offensive.,Coded-slur opener; political argument core,Ready,,
98,Toxic / Abusive,গর্ভকালীন সময়ে অতিরিক্ত পোন্দাইলে এই রকম বাস্টার্ড জর্ম নেয় - 😃,"Extremely vulgar, sexually explicit insult questioning someone's parentage/legitimacy; the grinning emoji turns the slur into mocking sarcasm rather than plain anger.",Negative,Yes,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Explicit sexual profanity; emoji-marked sarcasm,Ready,,
99,Relationship / Social Commentary,"আমি এতো গুলো বিড়াল পালন করতেছি, আমার সাথে কয়েকটি ঘুমায়, আমার স্ত্রী কন্যার সাথে বছরের পর বছর যাবত ঘুমায় কখনো কিছু দেখলাম না, বরং বিড়াল মানুষের ৬টা রোগ থেকে বাচিঁয়ে দেয়",Personal anecdote defending cat ownership as safe and even health-protective — no hostility.,Neutral,No,Low,🟢 Green,🌸 This post shares a personal experience.,,Ready,,
100,Relationship / Social Commentary,"আমি আগেই বলছি এই মেয়ে নাটক করছে
আর আমার বিড়াল আমাকে প্রতিদিন দুই একটা কামড় মারে, আমার তো কিছু হয় না","Dismisses a girl's account as ""acting"" while sharing a personal counter-anecdote about cat bites — accusatory but not abusive.",Neutral,No,Low,🟡 Yellow,🌸 This post shares a personal experience.,Dismisses another person's account as staged — borderline accusatory,Ready,,
101,Toxic / Abusive,আপনাকে বিড়ালের ঝুটা খাওয়ানো উচিত তাহলে আপনি বুঝবেন মাসের কয়দিন।,"A sarcastic, hostile suggestion that the target should be forced to eat a cat's leftovers to ""understand"" — mocking tone meant to humiliate.",Negative,Yes,Medium,🟡 Yellow,🙃 Things may not be as they first appear.,,Ready,,
102,Relationship / Social Commentary,ডাক্তার ব্যকসিন বিক্রি করার জন্য আর বউ কে শাড়ি কিনে দেওয়ার জন্য একটা রোগী কে কখনো হাত ছাড়া করে না,"A cynical generalization about doctors profiting off patients, shared as a plain observation rather than mockery.",Neutral,No,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
103,Social (Medical / Concerning Topic),বাচ্চাটার দোশ দিয়ে লাভ নাই। যারা ওর ভিডিও করে FB দিছে তাদের শাস্তির ব্যবস্থা করা উচিত। হাজার হাজার পালিত বিড়াল রাস্তায় ফেলে দিছে।,"Defends a child from blame while calling for punishment of those who filmed and posted the video, referencing a wider fallout of abandoned pet cats.",Neutral,No,Low,🟡 Yellow,⚠️ Discusses a serious real-world case involving a minor.,Contains Minor; Concerning Topic: Yes,Ready,,
104,Toxic / Abusive,ওরে শয়তানের বাচ্চা তুই কবে অসুস্থ হইলি তোর তো এটা নাটক ছিল রে বাচ্চা স্কুলে বাচ্চাদের সাথে খেলতে খেলতেই বিড়ালের কপি করছিলি,"Directs the abusive term ""শয়তানের বাচ্চা"" (devil's child) at a child, accusing them of faking illness — direct abuse aimed at a minor.",Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Contains Minor; direct abusive slur targeting a child,Ready,,
105,Positive,চমৎকার বলেছেন,Simple compliment expressing agreement/praise.,Positive,No,Low,🟢 Green,💙 Helping you scroll a little smarter.,,Ready,,
106,Social (Medical / Concerning Topic),আমি অনেক বছর ধরে বিড়াল পালন করি তাদের সব ধরনের ভেকসিন দিয়েছি আমার সাথে ঘুমায় গোসল করানোর সময় আচরও লাগে কই এমনতো হয়নি ফালতু একটা পোস্ট দিয়ে অনেক বিড়ালকে আশ্রয় হীন করছে সব কটার বিচার করা উচিৎ।,"Long personal defense of cat ownership as safe, followed by a call to punish whoever caused mass cat abandonment via a ""worthless post"" — concerning topic but not itself abusive.",Neutral,No,Low,🟡 Yellow,⚠️ Discusses a serious real-world case involving a minor.,Concerning Topic: Yes,Ready,,
107,Sarcastic,মিয়াও,"A single mocking ""meow"" used sarcastically to belittle the ongoing cat-related discourse rather than as a literal comment.",Neutral,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
108,Toxic / Abusive,দুইডা কইষসা থাবর দিলেই সব ঠিক হইয়া যাইতো।,"Sarcastically endorses physical violence (""a couple of hard slaps would've fixed everything"") as a casual solution.",Negative,Yes,Medium,🟡 Yellow,"⚖️ Read with context, not just emotion.",Normalizes violence as a casual solution,Ready,,
109,Sarcastic,এক এক করে সবাই জাতির আবেগে মুতে দেয়,A well-known vulgar Bangla Facebook idiom mocking repeated public-outrage cycles.,Negative,Yes,Medium,🟡 Yellow,🙃 This post may not mean exactly what it says.,Popular vulgar idiom used sarcastically,Ready,,
110,Toxic / Abusive,এই মেয়ে বড় হলে পৃথিবীর সবচেয়ে বড় খ হবে,Uses a truncated but recognizable gendered slur predicting a young girl will grow into the slur — a severe gendered insult aimed at a minor.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Contains Minor; coded gendered slur,Ready,,
111,Sarcastic,তেমন কিছু না একটু ভাইরাল হতে চাইছিলো আর কি,"Dismissively sarcastic — implies the subject staged the incident purely to ""go viral.""",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,,Ready,,
112,Toxic / Abusive,বোবা জন্তুগুলিরে অভিশাপ এখন কার লাগবে এই কেতরির! নাকি যারা ভিডিও করছে তাদের,"Uses the derogatory term ""কেতরির"" (little girl, used insultingly) while asking who deserves the ""curse"" for the animals' suffering.",Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Contains Minor; coded-slur targeting a child,Ready,,
113,Toxic / Abusive,_এই বাটপার একটা হিজলা দু মুখো সাপ দেখলে মনে হয় বাইন মাছ ধরতে জানেনা,"Stacks multiple insults — ""বাটপার"" (fraud), ""হিজলা"", and ""দু মুখো সাপ"" (two-faced snake) — at a named target.",Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Multiple insulting terms,Ready,,
114,Political / Social,নেপালে বিকাশ না থাকার কারণে Tasrif Khan এর ত্রান ব্যাবসায় বিরাট ধস!! 🫠,"Sarcastically mocks a named public figure over an alleged flood-relief scam, using the fact that Nepal lacks the ""Bikash"" payment service as the punchline; the melting-face emoji signals mockery.",Negative,Yes,Medium,🔴 Red,"⚖️ Read with context, not just emotion.",Targets Real Named Individual; accusation of fraud,Ready,,
115,Political / Social,বন্যা তাসরিফ,"A sarcastic nickname (""Flood Tasrif"") mocking the same named individual over the relief-fraud allegation.",Negative,Yes,Medium,🟡 Yellow,🙃 This post may not mean exactly what it says.,Targets Real Named Individual,Ready,,
116,Sarcastic,কিছু টাকা লাগবে পাঠাবো,"Sarcastic mimicry of a scam/relief-solicitation line aimed at mocking the target — sarcasm here is carried entirely by context, with no emoji marker.",Negative,Yes,Low,🟡 Yellow,🙃 This post may not mean exactly what it says.,Sarcasm inferred from context alone — no emoji marker present,Ready,,
117,Toxic / Abusive,বাটপার,"A single-word accusation calling the target a ""fraud/cheat.""",Negative,No,Medium,🟡 Yellow,⚠️ This post contains language that may be harmful or offensive.,Targets Real Named Individual,Ready,,
118,Toxic / Abusive,হালায় একটা বাটপার,"Adds the abusive address ""হালায়"" to the ""fraud"" accusation.",Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Targets Real Named Individual; coded-abusive address,Ready,,
119,Toxic / Abusive,এই সালা বাটপার,"Uses the abusive address ""সালা"" alongside the ""fraud"" accusation, intensifying the insult.",Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Targets Real Named Individual; coded-abusive address,Ready,,
120,Positive,"SpaceX এর AI প্রোজেক্টে সফটওয়্যার ইন্জিনিয়ার হিসেবে যোগ দিয়েছেন, চট্টগ্রাম বিশ্ববিদ্যালয়ের সাবেক শিক্ষার্থী আল একরাম এলাহী হৃদয়! তিনি চট্টগ্রাম বিশ্ববিদ্যালয়ের ২০১৫-১৬ শিক্ষাবর্ষের সাবেক শিক্ষার্থী। যুক্তরাষ্ট্রে মাস্টার্স কমপ্লিট করার পর ক্যালিফোর্নিয়ার পালা আল্টোতে 'স্পেসএক্সে' কর্মরত আছেন।","Celebrates a personal and academic achievement, inspiring others.",Positive,No,Low,🟢 Green,🌸 This post shares a personal experience.,,Ready,,
121,Positive,"ডিম এর দাত পরে যাওয়ার পর ছবিই তুলতে চাইতো না। দাত বের করে হাসতোও না। এর মধ্যে আমি একদিন মজার রান্না করায় আমায় ২০০ টাকা বকশিস দিয়েছিলো তার ঈদ সালামি থেকে। এটা সেদিনের ছবি,আমায় টাকা দিয়ে সে অনেক খুশি।মাশাআল্লাহ",Warm personal story about her son's shyness and a sweet gesture (tip from Eid money).,Positive,No,Low,🟢 Green,🌸 This post shares a personal experience.,,Ready,,
122,Positive,"বাচ্চাদের ভয়ে জিনিসপত্র এমন জায়গায় লুকাই, শেষ পর্যন্ত নিজেই আর খুঁজে পাই না","Lighthearted, relatable parenting joke about hiding things from kids.",Positive,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
123,Positive,"ফুলের সুবাসে, সকালের মিষ্টি আলোয় শুরু হোক নতুন একটি সুন্দর দিন। সবার জীবন ভরে উঠুক সুখ, শান্তি আর ভালোবাসায়। শুভ সকাল। সুপ্রভাত। — in Sylhet","Generic warm ""good morning"" greeting wishing happiness/peace to everyone.",Positive,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
124,Positive,যেইসব কারনে আমি কামলা দেই..,"Self-deprecating ""reasons I work hard/grind"" style post, common relatable-humor format.",Neutral,No,Low,🟢 Green,💬 Every post tells a story—we help explain the signals.,,Ready,,
125,Opinion / Advice,Offline is the new Luxury….,"A one-line personal perspective/lifestyle statement, not tied to a product or news event.",Positive,No,Low,🟢 Green,💡 This post encourages discussion and reflection.,,Ready,,
126,Opinion / Advice,আমার এই গোলাপ গাছটা প্রায় মরোমরো অবস্থা। ডাল আছে কিন্তু গাছে কোন পাতা নেই। কিভাবে গাছটাকে বাঁচানো যায়। কেউ জেনে থাকলে একটু জানাবেন প্লিজ। এখানে তো অনেকেই অভিজ্ঞ আছেন গোলাপ গাছ সম্পর্কে,"Genuine request for gardening help, not an emotional or promotional post.",Neutral,No,Low,🟢 Green,💡 This post encourages discussion and reflection.,,Ready,,
127,Advertisement,সেল পোস্ট IPB-2026-298 আর্জেন্ট কিছু গাছ ছেড়ে দেওয়া হবে। তাই সব অফারে দিয়ে দিচ্ছি। ছবিতে গাছের দাম দেওয়া আছে। নিতে আগ্রহি হলে ইনবক্সে নক করুন সুন্দরবন কুরিয়ারে পাঠানো হবে,"Product clearance/sale post — plant listing with ID code, pricing reference, and courier delivery details; no emotional or personal content.",Neutral,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
128,Advertisement,এই জিনিষ গুলো চোখে এত প্রশান্তিদায়ক 😌😌😌,Ambiguous without image context; text alone reads as generic positive/aesthetic commentary.,Neutral,No,Low,🟢 Green,"🌱 Your feed, with a little more clarity.",,Ready,,
129,Advertisement,"স্কিনে বারবার ব্রণ, র‍্যাশ আর লালচে দাগ? COSRX-এর জেন্টল কিন্তু ইফেক্টিভ প্রোডাক্টগুলো...","Clear product advertisement — brand name (COSRX), product benefit claims, promotional hashtags, and a direct order/purchase link.",Neutral,No,Low,🟢 Green,💙 Helping you scroll a little smarter.,,Ready,,
130,Advertisement,"গয়না ঢাকে না, গয়না আমাকে বোঝায় আপনি কত দামি 🫰🥹 তবে এই সেটটা একদম বাজেট ফ্রেন্ডলি 🤗",Product-selling language framing jewelry as a purchase.,Positive,No,Low,🟢 Green,💙 Helping you scroll a little smarter.,,Ready,,
131,Advertisement,১০০ টাকায় ১ মাস কমপ্লিট এডমিশন প্রস্তুতি! মক টেস্ট ও সল্যুশন পেতে ভিজিট করুন,Commercial offer with a price and a call to visit a link. Suspiciously low price for a full month's prep course is a common scam-bait pattern.,Neutral,No,Low,🟡 Yellow,✨ A little context before you scroll.,Flagged for a closer look rather than treated as a routine ad.,Ready,,
132,Advertisement,"চলে আসছে পূজো স্পেশাল দোলা খাড্ডী বেনারসি শাড়িইইই ব্লাউজ এবার সব গুলো আনস্টিচড পিসেস এনেছি, আপনারা আপনাদের মতো স্টিচড করে নিবেন!! কি যে সুন্দর এই শাড়ি স্টক থাকতে থাকতে নিয়ে নিন!",Clear festival-season saree sale post with product details and urgency.,Positive,No,Low,🟢 Green,💙 Helping you scroll a little smarter.,,Ready,,
133,Advertisement,"৫০ মিলির দামে ১২০ মিলি সানস্ক্রিন, তাও কিনা পানির মতো ফিনিশ দিবে স্কিনে! আর কি লাগে?",Product value-pitch (more volume at same price) with an enthusiastic rhetorical close.,Positive,No,Low,🟢 Green,💙 Helping you scroll a little smarter.,,Ready,,
134,Sarcastic,"Wow, আপনি তো পুরাই অনার্স",Positive wording used ironically to criticize or mock someone.,Mixed,Yes,Low,🟡 Yellow,👀 Know what you're about to read.,,Ready,,
135,Sarcastic,এটাই বাস্তব! 🌚,"Short reactive caption paired with the black moon emoji, a known ironic/mocking marker in Bengali social media use.",Negative,Yes,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
136,Sarcastic,কেউ ভাইটারে মুতার যায়গা খুঁজে দিয়ে সাহায্য কর 🤣,"Mock-serious ""help him"" framing combined with crude humor and the laughing emoji — classic joking-insult structure among peers.",Neutral,Yes,Medium,🟡 Yellow,👀 Know what you're about to read.,"Crude/vulgar phrasing pushes toxicity above the mildest sarcasm examples, but the laughing emoji and peer-joke framing keep it short of abuse.",Ready,,
137,Sarcastic,কাকে বিশ্বাস করবো...😩🤏,Short frustrated/rhetorical line; emoji combination reads as exasperated or subtly mocking rather than sincere distress.,Negative,Yes,Low,🟡 Yellow,🌸 This post shares a personal experience.,,Ready,,
138,Sarcastic,এটা কে বলতে পারলে তুমি লিজেন্ড ...🤫,"Ironic ""legend"" praise for guessing something trivial, paired with the hush emoji implying playful teasing.",Neutral,Yes,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
139,Sarcastic,"গেছিলাম গ্যাস এর চুলা কিনতে পরে দোকানে গিয়ে দেখি সে বেডা জানেই না সে বাংলাদেশ এর একটা গ্যাসের চুলার ব্যান্ড এ্যাম্বাসিডার হয়ে গেছে (+ comment: ""জেকের লস হইয়া গেলো"")","Mocks a marketing mishap (a foreign actor unknowingly used as a brand ambassador) with an incredulous, joking tone.",Negative,Yes,Medium,🟡 Yellow,👀 Know what you're about to read.,"""বেডা"" is a mildly dismissive/informal term for the actor, pushing toxicity to Medium; overall framing is humorous social commentary, not targeted abuse.",Ready,,
140,Political / Social,কালকে Women's Equality day ... ১৯২০ সালে এই দিনে আমেরিকার নারীরা ৭০ বছরের লড়াই শেষে ভোট দেওয়ার সাংবিধানিক অধিকার অর্জন করে... বেগম রোকেয়া বা লীলা নাগের মতো ফেমিনিস্টরাই এটা সম্ভবপর করেছিলেন..,"Historical/educational reflection on women's suffrage, referencing real historical figures (Begum Rokeya, Leela Nag).",Positive,No,Low,🟢 Green,📚 This post provides informative content.,,Ready,,
141,Political / Social,"[Full text not supplied — summary only: marriage/feminism essay citing a 47% consent statistic, questioning marriage as an institution, hashtags #নারীবাদ #বিয়ে #সমানঅধিকার]","Structured argumentative essay questioning marriage as an institution from a feminist lens, cites a real statistic. Balanced, reasoned tone keeps toxicity Low; Yellow reflects that the topic may draw heated replies.",Mixed,No,Low,🟡 Yellow,🌍 This post shares a social perspective worth considering.,Summary only — full source text was never pasted in.,Ready,,
142,Relationship / Social Commentary,ওনেস্টলি স্পিকিং কাউকে চেঞ্জ করার ঠেকা নিয়ে আমরা পৃথিবীতে আসি না। প্রতিদিন স্ট্রাগল করছি নিজের জন্য। নিজের সাথে সুবিচার সবার আগে করতে হবে। কাউকে চেঞ্জ করা সম্ভবও না...যেচে নিজের জীবনকে অশান্ত আর বিষাক্ত করার কোনো প্রয়োজনই দেখি না।,"Personal opinion on boundaries and compatibility in relationships; advice-giving tone, not reporting an event or promoting a product.",Neutral,No,Low,🟢 Green,💡 This post encourages discussion and reflection.,,Ready,,
